"term","contrast","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high"
"age_cat","35-54 - 18-34",0.037105558033166,0.00790689341131029,4.69281120953129,2.69476151527305e-06,18.5014109683156,0.0216083317174008,0.0526027843489312
"age_cat","55-64 - 18-34",0.0573170314626046,0.0105267667350416,5.44488473101689,5.18389440870989e-08,24.201388426984,0.0366849477882688,0.0779491151369404
"age_cat","65-74 - 18-34",0.101124832467468,0.0164996608050309,6.12890371883492,8.84866506903067e-10,30.0738211257181,0.0687860915324808,0.133463573402456
"age_cat","75+ - 18-34",0.115841252344227,0.0155667272027847,7.44159326717724,9.94781106621449e-14,43.1926142209913,0.0853310276696095,0.146351477018845
"cancer_ever","1 - 0",0.0575180569985948,0.0144623193948441,3.97709768594245,6.97615118895032e-05,13.8072091675236,0.0291724318517854,0.0858636821454043
"education","College+ - Less than HS",0.0632739988240539,0.012146400949775,5.20927961177061,1.89575239131215e-07,22.3307261214701,0.0394674904207119,0.087080507227396
"education","HS - Less than HS",-0.0220359073068638,0.0130364740153311,-1.69032725267195,0.0909653640696218,3.45853885981382,-0.047586926862305,0.0035151122485774
"education","Some college - Less than HS",0.0205779289613895,0.0115083176440593,1.78809184781339,0.0737611906444518,3.76099424600609,-0.00197795914361361,0.0431338170663925
"income_pct_fpl","High Income - Poor/Negative",0.0222417354337291,0.0157002985276828,1.41664410995195,0.156587005212502,2.67496360316112,-0.00853028422705642,0.0530137550945146
"income_pct_fpl","Low Income - Poor/Negative",0.0154853927249298,0.0154668778592347,1.00119706548817,0.316731544991659,1.65866753463628,-0.0148291308324502,0.0457999162823098
"income_pct_fpl","Middle Income - Poor/Negative",-0.0097469879855542,0.0143191903359344,-0.680694072561763,0.49606508773493,1.01139866864657,-0.0378120853317596,0.0183181093606512
"income_pct_fpl","Near Poor - Poor/Negative",0.00738965513676045,0.0180011545844852,0.410510064900471,0.681431821777767,0.55335877432569,-0.0278919595289687,0.0426712698024896
"insurance_status","Medicaid/Public Only - Private",-0.0248643663053855,0.0105756727220226,-2.35109074939587,0.0187184680110886,5.73939382553972,-0.0455923039528325,-0.00413642865793857
"insurance_status","Medicare/Other Public - Private",-0.0407077149432081,0.0258504443238526,-1.57473946804258,0.11531659367415,3.11632796794357,-0.0913736548023171,0.00995822491590099
"insurance_status","Uninsured - Private",-0.206320962037419,0.0176403142311469,-11.6959913147763,1.33617736167252e-31,102.561659420356,-0.240895342606437,-0.171746581468402
"mental_health_cat","Not observed - No SPD",-0.0475441641362058,0.00829204245663924,-5.73370968429357,9.82574591877988e-09,26.6007859206632,-0.0637962687094957,-0.0312920595629159
"mental_health_cat","SPD - No SPD",0.0223192805168589,0.0180183295024274,1.23869865482547,0.215457117055499,2.21452734004042,-0.0129959963694743,0.0576345574031921
"n_chronic_conditions_cat","1 - 0",0.0845017755165843,0.00844423971583164,10.0070318181703,1.41947448709497e-23,75.8989892633733,0.0679513697967316,0.101052181236437
"n_chronic_conditions_cat","2-3 - 0",0.144561446696694,0.00842042880168838,17.1679435930517,4.61481945164716e-66,217.040980057015,0.128057709511001,0.161065183882387
"n_chronic_conditions_cat","4+ - 0",0.175424455965708,0.0108854702564576,16.115468770092,1.9865182911183e-58,191.681587426183,0.154089326308269,0.196759585623147
"race_ethnicity","Asian Non-Hispanic - White Non-Hispanic",-0.0912151537837155,0.0289119065101641,-3.15493389381459,0.00160534474958396,9.28290113366586,-0.147881449268026,-0.0345488582994048
"race_ethnicity","Black Non-Hispanic - White Non-Hispanic",-0.0773733070862402,0.0114459998045594,-6.75985570569551,1.38129237342281e-11,36.0751903215271,-0.099807054470229,-0.0549395597022514
"race_ethnicity","Hispanic - White Non-Hispanic",-0.0813259485952506,0.0110237156030328,-7.3773627263095,1.61455699147047e-13,42.4939268666868,-0.102932034153007,-0.0597198630374941
"race_ethnicity","Other/Multiple Non-Hispanic - White Non-Hispanic",-0.02180402459378,0.0131172947772216,-1.6622348558975,0.0964656937609538,3.37384022398068,-0.0475134499317298,0.00390540074416976
"sex","Female - Male",0.0529661374054118,0.00677902057660384,7.81324334494745,5.57348413982779e-15,47.3503419449722,0.0396795012248123,0.0662527735860113
