"insurance_status","n_chronic_conditions_cat","pr_pos","pr_pos_se","pr_top5","pr_top5_se","pr_top1","pr_top1_se","e_y_pos","e_y_pos_se","e_y"
"Private","0",0.948581050076773,0.00794389476801716,0.0365288507479258,0.00615108796277739,0.00542024137178704,0.00174399549269844,5917.55394137317,562.921946061147,5613.27953159371
"Private","4+",0.996707586701805,0.00156759162508466,0.295808695705613,0.042314518775496,0.0378265404894657,0.0128584628136475,25209.1349502035,3264.18819005428,25126.1360590575
"Medicaid/Public Only","0",0.934635603447927,0.0120437711529875,0.0414891690169273,0.0071142640906242,0.00662992802098868,0.00306208684884745,6999.31693874322,916.451197257566,6541.81081076557
"Medicaid/Public Only","4+",0.995756249911889,0.00204284545135143,0.324132338780286,0.0465781579192833,0.045934619094159,0.0201227528851065,29817.5102442884,4149.80515126888,29690.9721825619
"Uninsured","0",0.791272126086126,0.0305433538895466,0.012714312996068,0.00430855162940619,0.00232357810067804,0.00163196765629171,3111.43364219546,574.520115943779,2461.9907132359
"Uninsured","4+",0.984179266384007,0.00770884789651685,0.124866855284546,0.0414178632308785,0.0165232660768412,0.0109871085844894,13254.8940578829,2686.30452096107,13045.1919098849
