"term","contrast","insurance_status","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high"
"n_chronic_conditions_cat","1 - 0","Private",2499.94948653462,600.764586429873,4.1612797142237,3.16469175123891e-05,14.9475754899858,1322.47253394497,3677.42643912427
"n_chronic_conditions_cat","2-3 - 0","Private",7993.52754238275,709.578820418213,11.2651721167093,1.94970608105132e-29,95.3726580982047,6602.77861017064,9384.27647459486
"n_chronic_conditions_cat","4+ - 0","Private",20685.6336992764,3441.80182962927,6.01011758469097,1.85388816056959e-09,29.0067986407987,13939.826071279,27431.4413272739
"n_chronic_conditions_cat","1 - 0","Medicare/Other Public",2744.10717683456,1186.09056574892,2.31357305763737,0.0206911529928375,5.59484214966613,419.412385563942,5068.80196810518
"n_chronic_conditions_cat","2-3 - 0","Medicare/Other Public",8021.40933149951,1223.14990096999,6.55799368919405,5.45365165501207e-11,34.0939864908559,5624.0795779046,10418.7390850944
"n_chronic_conditions_cat","4+ - 0","Medicare/Other Public",21029.1798700813,2924.01523696671,7.19188450327512,6.39030782111417e-13,40.5091798060726,15298.2153153801,26760.1444247824
"n_chronic_conditions_cat","1 - 0","Medicaid/Public Only",2916.77868264108,1898.69219997754,1.53620406860869,0.124488338470135,3.00591749170471,-804.58964704201,6638.14701232418
"n_chronic_conditions_cat","2-3 - 0","Medicaid/Public Only",8847.44504383599,1592.36779435393,5.55615673414551,2.75779260957392e-08,25.1119107911481,5726.46151676081,11968.4285709112
"n_chronic_conditions_cat","4+ - 0","Medicaid/Public Only",17491.3036977498,2667.57623079891,6.55700238133824,5.490013718073e-11,34.0843992896177,12262.9503593688,22719.6570361307
"n_chronic_conditions_cat","1 - 0","Uninsured",388.147770014692,854.993924573811,0.453977225871134,0.649845218591071,0.621831959765148,-1287.60952915053,2063.90506917992
"n_chronic_conditions_cat","2-3 - 0","Uninsured",1824.16812815888,1121.94879865868,1.62589249201009,0.103972527583947,3.26572571608043,-374.811109710106,4023.14736602787
"n_chronic_conditions_cat","4+ - 0","Uninsured",12045.5103796087,5618.36298768035,2.14395374702943,0.0320365930175163,4.96413545957129,1033.72127168239,23057.2994875351
